context_length_k,ttft_avg_s,ttft_std_s,ttft_min_s,ttft_max_s,prefill_avg_toks_per_s,prefill_std_toks_per_s,prefill_min_toks_per_s,prefill_max_toks_per_s,decoding_avg_toks_per_s,decoding_std_toks_per_s,decoding_min_toks_per_s,decoding_max_toks_per_s
1,2.7417928959999998,0.038950092026972666,2.696542976,2.816427776,320.64921889185524,4.511703673527873,312.09747591979436,325.97292452720023,10.928754092732715,0.009957718722236811,10.917376205141865,10.948539891771494
2,4.071937792,0.04087366374403914,4.00724608,4.13652096,439.38730122590914,4.411246887881736,432.4890450935851,446.4412627237507,10.652257148634611,0.008317693685612587,10.645400846181621,10.670864442460138
4,7.852870208,0.03914148444875237,7.816387072,7.94023424,459.7144557112154,2.2761223259406886,454.64653697672276,461.85020863818346,10.137611504386523,0.0034803273265155057,10.131168235140361,10.142775797795244
8,16.395781504,0.03658974950952093,16.345426944,16.455350272,422.2445970155258,0.9418401056268605,420.7142288414242,423.54354057060965,9.32016654954861,0.004566031350677374,9.316491848908116,9.3293381375693
16,27.001489664,0.20120876760090006,26.710992896,27.250397184,389.4049076984571,2.9115268681306032,385.82923870824413,393.6207104294683,8.594553478616238,0.041722838939007294,8.563711444030151,8.663145040453422
