context_length_k,ttft_avg_s,ttft_std_s,ttft_min_s,ttft_max_s,prefill_avg_toks_per_s,prefill_std_toks_per_s,prefill_min_toks_per_s,prefill_max_toks_per_s,decoding_avg_toks_per_s,decoding_std_toks_per_s,decoding_min_toks_per_s,decoding_max_toks_per_s
1,0.686700,0.026573,0.638179,0.727044,1466.81,57.01,1383.31,1575.70,57.89,0.86,56.73,59.28
2,1.062186,0.020491,1.028608,1.092472,1860.14,36.03,1807.38,1920.12,54.74,0.68,53.90,56.16
4,1.960242,0.016375,1.929954,1.981910,1995.95,16.76,1973.69,2027.08,50.86,0.30,50.38,51.50
8,3.997449,0.014682,3.976988,4.015775,1948.09,7.23,1938.99,1958.46,43.45,0.19,43.11,43.77
16,9.744413,0.006837,9.734944,9.755296,1592.93,1.12,1591.12,1594.44,34.47,0.24,33.99,34.80
32,28.563320,0.015766,28.541212,28.583317,1085.48,0.59,1084.73,1086.30,24.24,0.07,24.15,24.35
