context_length_k,ttft_avg_s,ttft_std_s,ttft_min_s,ttft_max_s,prefill_avg_toks_per_s,prefill_std_toks_per_s,prefill_min_toks_per_s,prefill_max_toks_per_s,decoding_avg_toks_per_s,decoding_std_toks_per_s,decoding_min_toks_per_s,decoding_max_toks_per_s
1,1.684,0.044,1.640,1.726,594.0,15.2,579.7,610.1,21.30,0.08,21.26,21.37
2,2.845,0.020,2.827,2.866,692.4,4.6,687.1,697.0,20.32,0.05,20.28,20.38
4,5.406,0.025,5.380,5.430,722.6,3.5,719.3,726.1,18.69,0.04,18.62,18.72
8,11.608,0.033,11.588,11.648,669.9,1.9,667.9,671.4,16.03,0.03,16.00,16.05
16,29.778,0.005,29.773,29.782,521.4,0.06,521.3,521.5,12.50,0.01,12.49,12.51
32,90.581,0.016,90.570,90.601,342.4,0.07,342.3,342.5,8.68,0.00,8.68,8.68
