context_length_k,ttft_avg_s,ttft_std_s,ttft_min_s,ttft_max_s,prefill_avg_toks_per_s,prefill_std_toks_per_s,prefill_min_toks_per_s,prefill_max_toks_per_s,decoding_avg_toks_per_s,decoding_std_toks_per_s,decoding_min_toks_per_s,decoding_max_toks_per_s
1,1.593882576,0.07831891487061868,1.49766016,1.693828736,552.0163371306775,27.00070930272875,518.3522875361114,586.2478173953696,19.746548547868613,0.06463382737968261,19.676963293608825,19.8695692363779
2,2.3216344959999997,0.05005222011849465,2.246657024,2.387412992,770.4607702641264,16.63202936436998,748.927816842508,795.849113104324,18.893076972389807,0.07634623857447742,18.82459244757351,19.031391720896803
4,4.455604352,0.025132326351487204,4.416390144,4.496625664,809.7892381143951,4.568067987916913,802.3794439652071,816.956809149151,17.304070357528037,0.03149562254177803,17.26628934746122,17.352114631224186
8,9.584402688,0.05015279688754219,9.526648832,9.670670336,722.2323276177357,3.7705067481478256,715.7725120907276,726.5933826330421,15.059418091126071,0.01849856398861526,15.03125427227614,15.08832706664816
16,16.233905792,0.05371774403665209,16.164636672,16.29541888,647.6014360254343,2.1424869757307197,645.1506449400335,650.3703246365177,13.193883161222898,0.015364933853898588,13.173875609716712,13.212486645479125
