context_length_k,ttft_avg_s,ttft_std_s,ttft_min_s,ttft_max_s,prefill_avg_toks_per_s,prefill_std_toks_per_s,prefill_min_toks_per_s,prefill_max_toks_per_s,decoding_avg_toks_per_s,decoding_std_toks_per_s,decoding_min_toks_per_s,decoding_max_toks_per_s
1,1.716118656,0.0718952622036406,1.649810944,1.857645056,515.2959238083263,20.820200271053558,475.33300139765777,535.2128395142953,17.393967684631857,0.06339808016188848,17.259540885425235,17.467273316713808
2,2.748303808,0.035663918776323376,2.678148352,2.7920448,652.4996765782408,8.567822371419886,642.1816727296066,669.4924120469336,17.170103398923935,0.07302724457650768,17.08912405422379,17.29068010728867
4,4.451101056000001,0.02717436653583038,4.40467968,4.49279744,811.7357818906742,4.962602130248396,804.1760280205289,820.263960715527,16.92097455734762,0.1028293191367336,16.827670725423477,17.09807240606212
8,8.606152576,0.027953165142226104,8.548383744,8.644774912,804.8967362324818,2.6215472915648945,801.2932748988618,810.3286197068506,16.553734004596315,0.08836031223322638,16.393024585893983,16.698572071705005
16,13.048980352,0.03600018221549517,12.997169152,13.112614912,806.0453530560902,2.2214220072718547,802.1283375274339,809.2531440495636,16.21616246890629,0.055494075554031935,16.127620162289936,16.279662902446834
