context_length_k,ttft_avg_s,ttft_std_s,ttft_min_s,ttft_max_s,prefill_avg_toks_per_s,prefill_std_toks_per_s,prefill_min_toks_per_s,prefill_max_toks_per_s,decoding_avg_toks_per_s,decoding_std_toks_per_s,decoding_min_toks_per_s,decoding_max_toks_per_s
1,7.950,0.253,7.917,8.773,128.34,4.12,116.8,129.6,23.94,0.10,23.4,24.1
2,16.008,0.057,15.987,16.125,127.94,0.93,126.9,129.8,23.00,0.10,22.8,23.2
4,31.922,0.035,31.892,31.947,129.05,0.20,128.9,129.4,21.83,0.04,21.8,21.9
8,63.893,0.047,63.819,63.968,128.95,0.08,128.9,129.1,20.40,0.06,20.3,20.5
16,127.840,0.030,127.803,127.880,128.92,0.02,128.9,128.9,18.47,0.05,18.4,18.5
