context_length_k,ttft_avg_s,ttft_std_s,ttft_min_s,ttft_max_s,prefill_avg_toks_per_s,prefill_std_toks_per_s,prefill_min_toks_per_s,prefill_max_toks_per_s,decoding_avg_toks_per_s,decoding_std_toks_per_s,decoding_min_toks_per_s,decoding_max_toks_per_s
1,1.412,0.005,1.407,1.417,711.87,4.11,707.76,715.98,23.50,0.07,23.43,23.57
2,2.230,0.003,2.227,2.233,884.40,0.89,883.51,885.29,22.10,0.08,22.02,22.18
4,4.193,0.005,4.188,4.198,948.22,1.54,946.68,949.76,20.45,0.04,20.41,20.49
8,7.233,0.006,7.227,7.239,1099.54,1.13,1098.41,1100.67,18.97,0.02,18.95,18.99
16,14.648,0.005,14.643,14.653,2180.09,0.70,2179.39,2180.79,37.04,0.11,36.93,37.15
32,29.812,0.047,29.765,29.859,2138.61,3.19,2135.42,2141.80,33.38,0.06,33.32,33.44
